date,hour,station_id,energy_kwh
2025-01-01,0,Station_1,10.63
2025-01-01,0,Station_2,17.1
2025-01-01,0,Station_3,18.01
2025-01-01,0,Station_4,10.33
2025-01-01,0,Station_5,14.38
2025-01-01,1,Station_1,11.02
2025-01-01,1,Station_2,13.62
2025-01-01,1,Station_3,6.32
2025-01-01,1,Station_4,8.5
2025-01-01,1,Station_5,11.85
2025-01-01,2,Station_1,7.88
2025-01-01,2,Station_2,12.7
2025-01-01,2,Station_3,13.67
2025-01-01,2,Station_4,10.79
2025-01-01,2,Station_5,10.27
2025-01-01,3,Station_1,6.26
2025-01-01,3,Station_2,15.65
2025-01-01,3,Station_3,12.11
2025-01-01,3,Station_4,9.14
2025-01-01,3,Station_5,17.58
2025-01-01,4,Station_1,13.86
2025-01-01,4,Station_2,16.19
2025-01-01,4,Station_3,12.62
2025-01-01,4,Station_4,11.64
2025-01-01,4,Station_5,9.05
2025-01-01,5,Station_1,12.06
2025-01-01,5,Station_2,8.81
2025-01-01,5,Station_3,16.76
2025-01-01,5,Station_4,9.44
2025-01-01,5,Station_5,12.03
2025-01-01,6,Station_1,18.9
2025-01-01,6,Station_2,8.21
2025-01-01,6,Station_3,17.64
2025-01-01,6,Station_4,15.99
2025-01-01,6,Station_5,13.6
2025-01-01,7,Station_1,28.46
2025-01-01,7,Station_2,28.24
2025-01-01,7,Station_3,27.62
2025-01-01,7,Station_4,23.8
2025-01-01,7,Station_5,30.62
2025-01-01,8,Station_1,24.04
2025-01-01,8,Station_2,26.55
2025-01-01,8,Station_3,24.18
2025-01-01,8,Station_4,25.16
2025-01-01,8,Station_5,26.54
2025-01-01,9,Station_1,29.12
2025-01-01,9,Station_2,23.2
2025-01-01,9,Station_3,27.61
2025-01-01,9,Station_4,25.2
2025-01-01,9,Station_5,25.32
2025-01-01,10,Station_1,20.89
2025-01-01,10,Station_2,21.05
2025-01-01,10,Station_3,39.75
2025-01-01,10,Station_4,30.83
2025-01-01,10,Station_5,28.47
2025-01-01,11,Station_1,16.8
2025-01-01,11,Station_2,11.17
2025-01-01,11,Station_3,19.53
2025-01-01,11,Station_4,16.36
2025-01-01,11,Station_5,13.89
2025-01-01,12,Station_1,11.5
2025-01-01,12,Station_2,7.48
2025-01-01,12,Station_3,14.6
2025-01-01,12,Station_4,11.56
2025-01-01,12,Station_5,16.36
2025-01-01,13,Station_1,10.65
2025-01-01,13,Station_2,16.31
2025-01-01,13,Station_3,13.98
2025-01-01,13,Station_4,10.33
2025-01-01,13,Station_5,14.9
2025-01-01,14,Station_1,10.22
2025-01-01,14,Station_2,8.54
2025-01-01,14,Station_3,10.07
2025-01-01,14,Station_4,11.02
2025-01-01,14,Station_5,6.92
