date,hour,station_id,energy_kwh,day_of_week,is_weekend,month
2025-01-01,0,0,10.63,2,0,1
2025-01-01,0,1,17.1,2,0,1
2025-01-01,0,2,18.01,2,0,1
2025-01-01,0,3,10.33,2,0,1
2025-01-01,0,4,14.38,2,0,1
2025-01-01,1,0,11.02,2,0,1
2025-01-01,1,1,13.62,2,0,1
2025-01-01,1,2,6.32,2,0,1
2025-01-01,1,3,8.5,2,0,1
2025-01-01,1,4,11.85,2,0,1
2025-01-01,2,0,7.88,2,0,1
2025-01-01,2,1,12.7,2,0,1
2025-01-01,2,2,13.67,2,0,1
2025-01-01,2,3,10.79,2,0,1
2025-01-01,2,4,10.27,2,0,1
2025-01-01,3,0,6.26,2,0,1
2025-01-01,3,1,15.65,2,0,1
2025-01-01,3,2,12.11,2,0,1
2025-01-01,3,3,9.14,2,0,1
2025-01-01,3,4,17.58,2,0,1
2025-01-01,4,0,13.86,2,0,1
2025-01-01,4,1,16.19,2,0,1
2025-01-01,4,2,12.62,2,0,1
2025-01-01,4,3,11.64,2,0,1
2025-01-01,4,4,9.05,2,0,1
2025-01-01,5,0,12.06,2,0,1
2025-01-01,5,1,8.81,2,0,1
2025-01-01,5,2,16.76,2,0,1
2025-01-01,5,3,9.44,2,0,1
2025-01-01,5,4,12.03,2,0,1
2025-01-01,6,0,18.9,2,0,1
2025-01-01,6,1,8.21,2,0,1
2025-01-01,6,2,17.64,2,0,1
2025-01-01,6,3,15.99,2,0,1
2025-01-01,6,4,13.6,2,0,1
2025-01-01,7,0,28.46,2,0,1
2025-01-01,7,1,28.24,2,0,1
2025-01-01,7,2,27.62,2,0,1
2025-01-01,7,3,23.8,2,0,1
2025-01-01,7,4,30.62,2,0,1
2025-01-01,8,0,24.04,2,0,1
2025-01-01,8,1,26.55,2,0,1
2025-01-01,8,2,24.18,2,0,1
2025-01-01,8,3,25.16,2,0,1
2025-01-01,8,4,26.54,2,0,1
2025-01-01,9,0,29.12,2,0,1
2025-01-01,9,1,23.2,2,0,1
2025-01-01,9,2,27.61,2,0,1
2025-01-01,9,3,25.2,2,0,1
2025-01-01,9,4,25.32,2,0,1
2025-01-01,10,0,20.89,2,0,1
2025-01-01,10,1,21.05,2,0,1
2025-01-01,10,2,39.75,2,0,1
2025-01-01,10,3,30.83,2,0,1
2025-01-01,10,4,28.47,2,0,1
2025-01-01,11,0,16.8,2,0,1
2025-01-01,11,1,11.17,2,0,1
2025-01-01,11,2,19.53,2,0,1
2025-01-01,11,3,16.36,2,0,1
2025-01-01,11,4,13.89,2,0,1
2025-01-01,12,0,11.5,2,0,1
2025-01-01,12,1,7.48,2,0,1
2025-01-01,12,2,14.6,2,0,1
2025-01-01,12,3,11.56,2,0,1
2025-01-01,12,4,16.36,2,0,1
2025-01-01,13,0,10.65,2,0,1
2025-01-01,13,1,16.31,2,0,1
2025-01-01,13,2,13.98,2,0,1
2025-01-01,13,3,10.33,2,0,1
2025-01-01,13,4,14.9,2,0,1
2025-01-01,14,0,10.22,2,0,1
2025-01-01,14,1,8.54,2,0,1
2025-01-01,14,2,10.07,2,0,1
2025-01-01,14,3,11.02,2,0,1
2025-01-01,14,4,6.92,2,0,1
2025-01-01,15,0,16.28,2,0,1
2025-01-01,15,1,12.62,2,0,1
2025-01-01,15,2,12.13,2,0,1
2025-01-01,15,3,15.02,2,0,1
2025-01-01,15,4,11.12,2,0,1
2025-01-01,16,0,15.49,2,0,1
2025-01-01,16,1,12.04,2,0,1
2025-01-01,16,2,9.4,2,0,1
2025-01-01,16,3,17.87,2,0,1
2025-01-01,16,4,11.75,2,0,1
2025-01-01,17,0,27.38,2,0,1
2025-01-01,17,1,23.47,2,0,1
2025-01-01,17,2,26.91,2,0,1
2025-01-01,17,3,25.95,2,0,1
2025-01-01,17,4,26.03,2,0,1
2025-01-01,18,0,28.53,2,0,1
2025-01-01,18,1,24.7,2,0,1
2025-01-01,18,2,23.58,2,0,1
2025-01-01,18,3,35.08,2,0,1
2025-01-01,18,4,30.43,2,0,1
2025-01-01,19,0,26.0,2,0,1
2025-01-01,19,1,20.61,2,0,1
2025-01-01,19,2,32.84,2,0,1
2025-01-01,19,3,30.07,2,0,1
2025-01-01,19,4,35.41,2,0,1
2025-01-01,20,0,31.27,2,0,1
2025-01-01,20,1,37.23,2,0,1
2025-01-01,20,2,33.68,2,0,1
2025-01-01,20,3,23.83,2,0,1
2025-01-01,20,4,25.32,2,0,1
2025-01-01,21,0,36.62,2,0,1
2025-01-01,21,1,24.67,2,0,1
2025-01-01,21,2,36.85,2,0,1
2025-01-01,21,3,28.92,2,0,1
2025-01-01,21,4,24.91,2,0,1
2025-01-01,22,0,10.49,2,0,1
2025-01-01,22,1,13.77,2,0,1
2025-01-01,22,2,8.14,2,0,1
2025-01-01,22,3,13.21,2,0,1
2025-01-01,22,4,14.38,2,0,1
2025-01-01,23,0,14.85,2,0,1
2025-01-01,23,1,14.15,2,0,1
2025-01-01,23,2,13.3,2,0,1
2025-01-01,23,3,17.77,2,0,1
2025-01-01,23,4,9.61,2,0,1
2025-01-02,0,0,6.82,3,0,1
2025-01-02,0,1,5.5,3,0,1
2025-01-02,0,2,13.16,3,0,1
2025-01-02,0,3,15.89,3,0,1
2025-01-02,0,4,14.71,3,0,1
2025-01-02,1,0,12.85,3,0,1
2025-01-02,1,1,12.49,3,0,1
2025-01-02,1,2,13.75,3,0,1
2025-01-02,1,3,13.96,3,0,1
2025-01-02,1,4,16.48,3,0,1
2025-01-02,2,0,17.87,3,0,1
2025-01-02,2,1,17.59,3,0,1
2025-01-02,2,2,14.46,3,0,1
2025-01-02,2,3,12.56,3,0,1
2025-01-02,2,4,17.26,3,0,1
2025-01-02,3,0,10.41,3,0,1
2025-01-02,3,1,13.37,3,0,1
2025-01-02,3,2,8.76,3,0,1
2025-01-02,3,3,14.53,3,0,1
2025-01-02,3,4,14.54,3,0,1
2025-01-02,4,0,14.61,3,0,1
2025-01-02,4,1,16.76,3,0,1
2025-01-02,4,2,9.76,3,0,1
2025-01-02,4,3,12.12,3,0,1
2025-01-02,4,4,13.44,3,0,1
2025-01-02,5,0,18.0,3,0,1
2025-01-02,5,1,9.96,3,0,1
2025-01-02,5,2,18.19,3,0,1
2025-01-02,5,3,13.97,3,0,1
2025-01-02,5,4,16.14,3,0,1
2025-01-02,6,0,14.03,3,0,1
2025-01-02,6,1,13.63,3,0,1
2025-01-02,6,2,12.71,3,0,1
2025-01-02,6,3,12.55,3,0,1
2025-01-02,6,4,12.76,3,0,1
2025-01-02,7,0,29.47,3,0,1
2025-01-02,7,1,22.48,3,0,1
2025-01-02,7,2,25.05,3,0,1
2025-01-02,7,3,31.36,3,0,1
2025-01-02,7,4,29.54,3,0,1
2025-01-02,8,0,30.34,3,0,1
2025-01-02,8,1,32.49,3,0,1
2025-01-02,8,2,18.38,3,0,1
2025-01-02,8,3,33.4,3,0,1
2025-01-02,8,4,24.16,3,0,1
2025-01-02,9,0,28.43,3,0,1
2025-01-02,9,1,30.19,3,0,1
2025-01-02,9,2,21.91,3,0,1
2025-01-02,9,3,36.96,3,0,1
2025-01-02,9,4,22.54,3,0,1
2025-01-02,10,0,21.33,3,0,1
2025-01-02,10,1,30.68,3,0,1
2025-01-02,10,2,29.39,3,0,1
2025-01-02,10,3,20.47,3,0,1
2025-01-02,10,4,34.92,3,0,1
2025-01-02,11,0,13.07,3,0,1
2025-01-02,11,1,14.11,3,0,1
2025-01-02,11,2,13.01,3,0,1
2025-01-02,11,3,8.38,3,0,1
2025-01-02,11,4,17.81,3,0,1
2025-01-02,12,0,15.6,3,0,1
2025-01-02,12,1,14.71,3,0,1
2025-01-02,12,2,14.98,3,0,1
2025-01-02,12,3,10.23,3,0,1
2025-01-02,12,4,13.52,3,0,1
2025-01-02,13,0,11.94,3,0,1
2025-01-02,13,1,7.81,3,0,1
2025-01-02,13,2,13.1,3,0,1
2025-01-02,13,3,11.89,3,0,1
2025-01-02,13,4,16.94,3,0,1
